District,Actual_Rainfall,Normal_Rainfall,Deviation_Percentage,Rainfall_Category
Chennai,2644.4,2648.4,-0.15,Normal
Kancheepuram,1929.6,2455.4,-21.41,Deficient
Thiruvallur,2012.0,2279.2,-11.72,Normal
Cuddalore,2406.2,2413.4,-0.3,Normal
Villupuram,1985.4,2023.2,-1.87,Normal
Vellore,1501.6,1872.4,-19.8,Normal
Tiruvannamalai,1743.8,2080.0,-16.16,Normal
Salem,2003.0,1995.8,0.36,Normal
Namakkal,1365.6,1586.8,-13.94,Normal
Dharmapuri,1767.2,1804.2,-2.05,Normal
Krishnagiri,1600.8,1701.4,-5.91,Normal
Tiruppur,1915.8,1236.4,54.95,Excess
Coimbatore,2836.2,1378.6,105.73,Excess
Erode,1823.8,1405.8,29.73,Excess
Tiruchirappalli,1251.4,1636.0,-23.51,Deficient
Karur,1307.2,1310.0,-0.21,Normal
Perambalur,1715.2,1723.8,-0.5,Normal
Pudukkottai,1790.8,1774.8,0.9,Normal
Thanjavur,1929.2,2026.2,-4.79,Normal
Thiruvarur,2549.2,2346.6,8.63,Normal
Nagapattinam,2836.8,2786.6,1.8,Normal
Madurai,1752.4,1855.8,-5.57,Normal
Theni,2215.8,1440.0,53.88,Excess
Dindigul,2278.6,1861.4,22.41,Excess
Ramanathapuram,1971.0,1615.6,22.0,Excess
Virudhunagar,1327.0,1640.2,-19.1,Normal
Sivagangai,2113.4,1745.6,21.07,Excess
Tirunelveli,2607.4,1690.2,54.27,Excess
Thoothukkudi,1580.4,1312.6,20.4,Excess
The Nilgiris,4202.4,3045.4,37.99,Excess
Ariyalur,1368.2,2143.6,-36.17,Deficient
Kanniyakumari,2819.8,2605.0,8.25,Normal
State Average,1975.8,1841.8,7.28,Normal
